date,country,store,product,num_sold
1/3/2015,Sweden,KaggleMart,Kaggle Hat,630
1/3/2015,Sweden,KaggleMart,Kaggle Sticker,173
1/3/2015,Sweden,KaggleRama,Kaggle Mug,734
1/3/2015,Sweden,KaggleRama,Kaggle Hat,1167
1/3/2015,Sweden,KaggleRama,Kaggle Sticker,319
1/4/2015,Finland,KaggleMart,Kaggle Mug,332
1/4/2015,Finland,KaggleMart,Kaggle Hat,544
1/4/2015,Finland,KaggleMart,Kaggle Sticker,125
1/4/2015,Finland,KaggleRama,Kaggle Mug,582
1/4/2015,Finland,KaggleRama,Kaggle Hat,873
1/4/2015,Finland,KaggleRama,Kaggle Sticker,245
1/4/2015,Norway,KaggleMart,Kaggle Mug,589
1/4/2015,Norway,KaggleMart,Kaggle Hat,889
1/4/2015,Norway,KaggleMart,Kaggle Sticker,255
1/4/2015,Norway,KaggleRama,Kaggle Mug,957
1/4/2015,Norway,KaggleRama,Kaggle Hat,1540
1/4/2015,Norway,KaggleRama,Kaggle Sticker,455
1/4/2015,Sweden,KaggleMart,Kaggle Mug,406
1/4/2015,Sweden,KaggleMart,Kaggle Hat,697
1/4/2015,Sweden,KaggleMart,Kaggle Sticker,169
1/4/2015,Sweden,KaggleRama,Kaggle Mug,657
1/4/2015,Sweden,KaggleRama,Kaggle Hat,1112
1/4/2015,Sweden,KaggleRama,Kaggle Sticker,300
1/5/2015,Finland,KaggleMart,Kaggle Mug,243
1/5/2015,Finland,KaggleMart,Kaggle Hat,378
1/5/2015,Finland,KaggleMart,Kaggle Sticker,102
1/5/2015,Finland,KaggleRama,Kaggle Mug,423
1/5/2015,Finland,KaggleRama,Kaggle Hat,668
1/5/2015,Finland,KaggleRama,Kaggle Sticker,187
1/5/2015,Norway,KaggleMart,Kaggle Mug,435
1/5/2015,Norway,KaggleMart,Kaggle Hat,671
1/5/2015,Norway,KaggleMart,Kaggle Sticker,184
1/5/2015,Norway,KaggleRama,Kaggle Mug,739
1/5/2015,Norway,KaggleRama,Kaggle Hat,1126
1/5/2015,Norway,KaggleRama,Kaggle Sticker,310
1/5/2015,Sweden,KaggleMart,Kaggle Mug,298
1/5/2015,Sweden,KaggleMart,Kaggle Hat,442
1/5/2015,Sweden,KaggleMart,Kaggle Sticker,127
1/5/2015,Sweden,KaggleRama,Kaggle Mug,512
1/5/2015,Sweden,KaggleRama,Kaggle Hat,796
1/5/2015,Sweden,KaggleRama,Kaggle Sticker,227
1/6/2015,Finland,KaggleMart,Kaggle Mug,223
1/6/2015,Finland,KaggleMart,Kaggle Hat,389
1/6/2015,Finland,KaggleMart,Kaggle Sticker,99
1/6/2015,Finland,KaggleRama,Kaggle Mug,407
1/6/2015,Finland,KaggleRama,Kaggle Hat,636
1/6/2015,Finland,KaggleRama,Kaggle Sticker,168
1/6/2015,Norway,KaggleMart,Kaggle Mug,402
1/6/2015,Norway,KaggleMart,Kaggle Hat,683
1/6/2015,Norway,KaggleMart,Kaggle Sticker,181
1/6/2015,Norway,KaggleRama,Kaggle Mug,681
1/6/2015,Norway,KaggleRama,Kaggle Hat,1131
1/6/2015,Norway,KaggleRama,Kaggle Sticker,306
1/6/2015,Sweden,KaggleMart,Kaggle Mug,256
1/6/2015,Sweden,KaggleMart,Kaggle Hat,411
1/6/2015,Sweden,KaggleMart,Kaggle Sticker,111
1/6/2015,Sweden,KaggleRama,Kaggle Mug,471
1/6/2015,Sweden,KaggleRama,Kaggle Hat,853
1/6/2015,Sweden,KaggleRama,Kaggle Sticker,206
1/7/2015,Finland,KaggleMart,Kaggle Mug,229
1/7/2015,Finland,KaggleMart,Kaggle Hat,342
1/7/2015,Finland,KaggleMart,Kaggle Sticker,91
1/7/2015,Finland,KaggleRama,Kaggle Mug,356
1/7/2015,Finland,KaggleRama,Kaggle Hat,576
1/7/2015,Finland,KaggleRama,Kaggle Sticker,173
1/7/2015,Norway,KaggleMart,Kaggle Mug,371
1/7/2015,Norway,KaggleMart,Kaggle Hat,504
1/7/2015,Norway,KaggleMart,Kaggle Sticker,149
1/7/2015,Norway,KaggleRama,Kaggle Mug,653
1/7/2015,Norway,KaggleRama,Kaggle Hat,958
1/7/2015,Norway,KaggleRama,Kaggle Sticker,262
1/7/2015,Sweden,KaggleMart,Kaggle Mug,256
1/7/2015,Sweden,KaggleMart,Kaggle Hat,415
1/7/2015,Sweden,KaggleMart,Kaggle Sticker,119
1/7/2015,Sweden,KaggleRama,Kaggle Mug,442
1/7/2015,Sweden,KaggleRama,Kaggle Hat,689
1/7/2015,Sweden,KaggleRama,Kaggle Sticker,208
1/8/2015,Finland,KaggleMart,Kaggle Mug,205
1/8/2015,Finland,KaggleMart,Kaggle Hat,355
1/8/2015,Finland,KaggleMart,Kaggle Sticker,93
1/8/2015,Finland,KaggleRama,Kaggle Mug,353
1/8/2015,Finland,KaggleRama,Kaggle Hat,581
1/8/2015,Finland,KaggleRama,Kaggle Sticker,163
1/8/2015,Norway,KaggleMart,Kaggle Mug,361
1/8/2015,Norway,KaggleMart,Kaggle Hat,574
1/8/2015,Norway,KaggleMart,Kaggle Sticker,163
1/8/2015,Norway,KaggleRama,Kaggle Mug,538
1/8/2015,Norway,KaggleRama,Kaggle Hat,1004
1/8/2015,Norway,KaggleRama,Kaggle Sticker,263
1/8/2015,Sweden,KaggleMart,Kaggle Mug,259
1/8/2015,Sweden,KaggleMart,Kaggle Hat,402
1/8/2015,Sweden,KaggleMart,Kaggle Sticker,121
1/8/2015,Sweden,KaggleRama,Kaggle Mug,493
1/8/2015,Sweden,KaggleRama,Kaggle Hat,723
1/8/2015,Sweden,KaggleRama,Kaggle Sticker,202
1/9/2015,Finland,KaggleMart,Kaggle Mug,223
1/9/2015,Finland,KaggleMart,Kaggle Hat,344
1/9/2015,Finland,KaggleMart,Kaggle Sticker,101
1/9/2015,Finland,KaggleRama,Kaggle Mug,386
1/9/2015,Finland,KaggleRama,Kaggle Hat,634
1/9/2015,Finland,KaggleRama,Kaggle Sticker,165
1/9/2015,Norway,KaggleMart,Kaggle Mug,338
1/9/2015,Norway,KaggleMart,Kaggle Hat,566
1/9/2015,Norway,KaggleMart,Kaggle Sticker,153
1/9/2015,Norway,KaggleRama,Kaggle Mug,605
1/9/2015,Norway,KaggleRama,Kaggle Hat,1053
1/9/2015,Norway,KaggleRama,Kaggle Sticker,258
1/9/2015,Sweden,KaggleMart,Kaggle Mug,268
1/9/2015,Sweden,KaggleMart,Kaggle Hat,422
1/9/2015,Sweden,KaggleMart,Kaggle Sticker,121
1/9/2015,Sweden,KaggleRama,Kaggle Mug,479
1/9/2015,Sweden,KaggleRama,Kaggle Hat,731
1/9/2015,Sweden,KaggleRama,Kaggle Sticker,194
1/10/2015,Finland,KaggleMart,Kaggle Mug,280
1/10/2015,Finland,KaggleMart,Kaggle Hat,456
1/10/2015,Finland,KaggleMart,Kaggle Sticker,126
1/10/2015,Finland,KaggleRama,Kaggle Mug,469
1/10/2015,Finland,KaggleRama,Kaggle Hat,703
1/10/2015,Finland,KaggleRama,Kaggle Sticker,198
1/10/2015,Norway,KaggleMart,Kaggle Mug,433
1/10/2015,Norway,KaggleMart,Kaggle Hat,512
1/10/2015,Norway,KaggleMart,Kaggle Sticker,172
1/10/2015,Norway,KaggleRama,Kaggle Mug,602
1/10/2015,Norway,KaggleRama,Kaggle Hat,1122
1/10/2015,Norway,KaggleRama,Kaggle Sticker,326
1/10/2015,Sweden,KaggleMart,Kaggle Mug,332
1/10/2015,Sweden,KaggleMart,Kaggle Hat,547
1/10/2015,Sweden,KaggleMart,Kaggle Sticker,137
1/10/2015,Sweden,KaggleRama,Kaggle Mug,536
1/10/2015,Sweden,KaggleRama,Kaggle Hat,955
1/10/2015,Sweden,KaggleRama,Kaggle Sticker,254
1/11/2015,Finland,KaggleMart,Kaggle Mug,231
1/11/2015,Finland,KaggleMart,Kaggle Hat,447
1/11/2015,Finland,KaggleMart,Kaggle Sticker,114
1/11/2015,Finland,KaggleRama,Kaggle Mug,454
1/11/2015,Finland,KaggleRama,Kaggle Hat,676
1/11/2015,Finland,KaggleRama,Kaggle Sticker,205
1/11/2015,Norway,KaggleMart,Kaggle Mug,387
1/11/2015,Norway,KaggleMart,Kaggle Hat,679
1/11/2015,Norway,KaggleMart,Kaggle Sticker,170
1/11/2015,Norway,KaggleRama,Kaggle Mug,717
1/11/2015,Norway,KaggleRama,Kaggle Hat,1109
1/11/2015,Norway,KaggleRama,Kaggle Sticker,301
1/11/2015,Sweden,KaggleMart,Kaggle Mug,354
1/11/2015,Sweden,KaggleMart,Kaggle Hat,531
1/11/2015,Sweden,KaggleMart,Kaggle Sticker,142
1/11/2015,Sweden,KaggleRama,Kaggle Mug,538
1/11/2015,Sweden,KaggleRama,Kaggle Hat,882
1/11/2015,Sweden,KaggleRama,Kaggle Sticker,243
1/12/2015,Finland,KaggleMart,Kaggle Mug,197
1/12/2015,Finland,KaggleMart,Kaggle Hat,324
1/12/2015,Finland,KaggleMart,Kaggle Sticker,84
1/12/2015,Finland,KaggleRama,Kaggle Mug,354
1/12/2015,Finland,KaggleRama,Kaggle Hat,560
1/12/2015,Finland,KaggleRama,Kaggle Sticker,151
1/12/2015,Norway,KaggleMart,Kaggle Mug,323
1/12/2015,Norway,KaggleMart,Kaggle Hat,510
1/12/2015,Norway,KaggleMart,Kaggle Sticker,147
1/12/2015,Norway,KaggleRama,Kaggle Mug,534
1/12/2015,Norway,KaggleRama,Kaggle Hat,885
1/12/2015,Norway,KaggleRama,Kaggle Sticker,265
1/12/2015,Sweden,KaggleMart,Kaggle Mug,245
1/12/2015,Sweden,KaggleMart,Kaggle Hat,360
1/12/2015,Sweden,KaggleMart,Kaggle Sticker,118
1/12/2015,Sweden,KaggleRama,Kaggle Mug,456
1/12/2015,Sweden,KaggleRama,Kaggle Hat,642
1/12/2015,Sweden,KaggleRama,Kaggle Sticker,168
1/13/2015,Finland,KaggleMart,Kaggle Mug,186
1/13/2015,Finland,KaggleMart,Kaggle Hat,318
1/13/2015,Finland,KaggleMart,Kaggle Sticker,84
1/13/2015,Finland,KaggleRama,Kaggle Mug,354
1/13/2015,Finland,KaggleRama,Kaggle Hat,580
1/13/2015,Finland,KaggleRama,Kaggle Sticker,149
1/13/2015,Norway,KaggleMart,Kaggle Mug,311
1/13/2015,Norway,KaggleMart,Kaggle Hat,522
1/13/2015,Norway,KaggleMart,Kaggle Sticker,140
1/13/2015,Norway,KaggleRama,Kaggle Mug,534
1/13/2015,Norway,KaggleRama,Kaggle Hat,939
1/13/2015,Norway,KaggleRama,Kaggle Sticker,231
1/13/2015,Sweden,KaggleMart,Kaggle Mug,221
1/13/2015,Sweden,KaggleMart,Kaggle Hat,355
1/13/2015,Sweden,KaggleMart,Kaggle Sticker,101
1/13/2015,Sweden,KaggleRama,Kaggle Mug,409
1/13/2015,Sweden,KaggleRama,Kaggle Hat,653
1/13/2015,Sweden,KaggleRama,Kaggle Sticker,173
1/14/2015,Finland,KaggleMart,Kaggle Mug,187
1/14/2015,Finland,KaggleMart,Kaggle Hat,324
1/14/2015,Finland,KaggleMart,Kaggle Sticker,86
1/14/2015,Finland,KaggleRama,Kaggle Mug,337
1/14/2015,Finland,KaggleRama,Kaggle Hat,547
1/14/2015,Finland,KaggleRama,Kaggle Sticker,142
1/14/2015,Norway,KaggleMart,Kaggle Mug,325
1/14/2015,Norway,KaggleMart,Kaggle Hat,495
1/14/2015,Norway,KaggleMart,Kaggle Sticker,144
1/14/2015,Norway,KaggleRama,Kaggle Mug,545
1/14/2015,Norway,KaggleRama,Kaggle Hat,946
1/14/2015,Norway,KaggleRama,Kaggle Sticker,247
1/14/2015,Sweden,KaggleMart,Kaggle Mug,235
1/14/2015,Sweden,KaggleMart,Kaggle Hat,339
1/14/2015,Sweden,KaggleMart,Kaggle Sticker,102
1/14/2015,Sweden,KaggleRama,Kaggle Mug,402
1/14/2015,Sweden,KaggleRama,Kaggle Hat,649
1/14/2015,Sweden,KaggleRama,Kaggle Sticker,177
1/15/2015,Finland,KaggleMart,Kaggle Mug,184
1/15/2015,Finland,KaggleMart,Kaggle Hat,295
1/15/2015,Finland,KaggleMart,Kaggle Sticker,77
1/15/2015,Finland,KaggleRama,Kaggle Mug,306
1/15/2015,Finland,KaggleRama,Kaggle Hat,569
1/15/2015,Finland,KaggleRama,Kaggle Sticker,149
1/15/2015,Norway,KaggleMart,Kaggle Mug,316
1/15/2015,Norway,KaggleMart,Kaggle Hat,505
1/15/2015,Norway,KaggleMart,Kaggle Sticker,135
1/15/2015,Norway,KaggleRama,Kaggle Mug,564
1/15/2015,Norway,KaggleRama,Kaggle Hat,972
1/15/2015,Norway,KaggleRama,Kaggle Sticker,252
1/15/2015,Sweden,KaggleMart,Kaggle Mug,220
1/15/2015,Sweden,KaggleMart,Kaggle Hat,362
1/15/2015,Sweden,KaggleMart,Kaggle Sticker,94
1/15/2015,Sweden,KaggleRama,Kaggle Mug,363
1/15/2015,Sweden,KaggleRama,Kaggle Hat,593
1/15/2015,Sweden,KaggleRama,Kaggle Sticker,157
1/16/2015,Finland,KaggleMart,Kaggle Mug,196
1/16/2015,Finland,KaggleMart,Kaggle Hat,292
1/16/2015,Finland,KaggleMart,Kaggle Sticker,89
1/16/2015,Finland,KaggleRama,Kaggle Mug,332
1/16/2015,Finland,KaggleRama,Kaggle Hat,474
1/16/2015,Finland,KaggleRama,Kaggle Sticker,151
1/16/2015,Norway,KaggleMart,Kaggle Mug,347
1/16/2015,Norway,KaggleMart,Kaggle Hat,514
1/16/2015,Norway,KaggleMart,Kaggle Sticker,171
1/16/2015,Norway,KaggleRama,Kaggle Mug,571
1/16/2015,Norway,KaggleRama,Kaggle Hat,1008
1/16/2015,Norway,KaggleRama,Kaggle Sticker,253
1/16/2015,Sweden,KaggleMart,Kaggle Mug,213
1/16/2015,Sweden,KaggleMart,Kaggle Hat,376
1/16/2015,Sweden,KaggleMart,Kaggle Sticker,98
1/16/2015,Sweden,KaggleRama,Kaggle Mug,396
1/16/2015,Sweden,KaggleRama,Kaggle Hat,635
1/16/2015,Sweden,KaggleRama,Kaggle Sticker,180
1/17/2015,Finland,KaggleMart,Kaggle Mug,220
1/17/2015,Finland,KaggleMart,Kaggle Hat,427
1/17/2015,Finland,KaggleMart,Kaggle Sticker,111
1/17/2015,Finland,KaggleRama,Kaggle Mug,406
1/17/2015,Finland,KaggleRama,Kaggle Hat,701
1/17/2015,Finland,KaggleRama,Kaggle Sticker,176
1/17/2015,Norway,KaggleMart,Kaggle Mug,399
1/17/2015,Norway,KaggleMart,Kaggle Hat,671
1/17/2015,Norway,KaggleMart,Kaggle Sticker,184
1/17/2015,Norway,KaggleRama,Kaggle Mug,712
1/17/2015,Norway,KaggleRama,Kaggle Hat,1109
1/17/2015,Norway,KaggleRama,Kaggle Sticker,316
1/17/2015,Sweden,KaggleMart,Kaggle Mug,254
1/17/2015,Sweden,KaggleMart,Kaggle Hat,487
1/17/2015,Sweden,KaggleMart,Kaggle Sticker,123
1/17/2015,Sweden,KaggleRama,Kaggle Mug,507
1/17/2015,Sweden,KaggleRama,Kaggle Hat,781
1/17/2015,Sweden,KaggleRama,Kaggle Sticker,196
1/18/2015,Finland,KaggleMart,Kaggle Mug,233
1/18/2015,Finland,KaggleMart,Kaggle Hat,371
1/18/2015,Finland,KaggleMart,Kaggle Sticker,104
1/18/2015,Finland,KaggleRama,Kaggle Mug,396
1/18/2015,Finland,KaggleRama,Kaggle Hat,617
1/18/2015,Finland,KaggleRama,Kaggle Sticker,163
1/18/2015,Norway,KaggleMart,Kaggle Mug,411
1/18/2015,Norway,KaggleMart,Kaggle Hat,626
1/18/2015,Norway,KaggleMart,Kaggle Sticker,161
1/18/2015,Norway,KaggleRama,Kaggle Mug,698
1/18/2015,Norway,KaggleRama,Kaggle Hat,1109
1/18/2015,Norway,KaggleRama,Kaggle Sticker,299
1/18/2015,Sweden,KaggleMart,Kaggle Mug,246
1/18/2015,Sweden,KaggleMart,Kaggle Hat,443
1/18/2015,Sweden,KaggleMart,Kaggle Sticker,127
1/18/2015,Sweden,KaggleRama,Kaggle Mug,485
1/18/2015,Sweden,KaggleRama,Kaggle Hat,851
1/18/2015,Sweden,KaggleRama,Kaggle Sticker,214
1/19/2015,Finland,KaggleMart,Kaggle Mug,166
1/19/2015,Finland,KaggleMart,Kaggle Hat,288
1/19/2015,Finland,KaggleMart,Kaggle Sticker,73
1/19/2015,Finland,KaggleRama,Kaggle Mug,343
1/19/2015,Finland,KaggleRama,Kaggle Hat,560
1/19/2015,Finland,KaggleRama,Kaggle Sticker,158
1/19/2015,Norway,KaggleMart,Kaggle Mug,303
1/19/2015,Norway,KaggleMart,Kaggle Hat,545
1/19/2015,Norway,KaggleMart,Kaggle Sticker,137
1/19/2015,Norway,KaggleRama,Kaggle Mug,527
1/19/2015,Norway,KaggleRama,Kaggle Hat,913
1/19/2015,Norway,KaggleRama,Kaggle Sticker,244
1/19/2015,Sweden,KaggleMart,Kaggle Mug,223
1/19/2015,Sweden,KaggleMart,Kaggle Hat,375
1/19/2015,Sweden,KaggleMart,Kaggle Sticker,106
1/19/2015,Sweden,KaggleRama,Kaggle Mug,369
1/19/2015,Sweden,KaggleRama,Kaggle Hat,569
1/19/2015,Sweden,KaggleRama,Kaggle Sticker,148
1/20/2015,Finland,KaggleMart,Kaggle Mug,188
1/20/2015,Finland,KaggleMart,Kaggle Hat,309
1/20/2015,Finland,KaggleMart,Kaggle Sticker,79
1/20/2015,Finland,KaggleRama,Kaggle Mug,326
1/20/2015,Finland,KaggleRama,Kaggle Hat,560
1/20/2015,Finland,KaggleRama,Kaggle Sticker,140
1/20/2015,Norway,KaggleMart,Kaggle Mug,335
1/20/2015,Norway,KaggleMart,Kaggle Hat,538
1/20/2015,Norway,KaggleMart,Kaggle Sticker,129
1/20/2015,Norway,KaggleRama,Kaggle Mug,533
1/20/2015,Norway,KaggleRama,Kaggle Hat,955
1/20/2015,Norway,KaggleRama,Kaggle Sticker,249
1/20/2015,Sweden,KaggleMart,Kaggle Mug,224
1/20/2015,Sweden,KaggleMart,Kaggle Hat,350
1/20/2015,Sweden,KaggleMart,Kaggle Sticker,97
1/20/2015,Sweden,KaggleRama,Kaggle Mug,382
1/20/2015,Sweden,KaggleRama,Kaggle Hat,653
1/20/2015,Sweden,KaggleRama,Kaggle Sticker,167
1/21/2015,Finland,KaggleMart,Kaggle Mug,172
1/21/2015,Finland,KaggleMart,Kaggle Hat,320
1/21/2015,Finland,KaggleMart,Kaggle Sticker,81
1/21/2015,Finland,KaggleRama,Kaggle Mug,318
1/21/2015,Finland,KaggleRama,Kaggle Hat,522
1/21/2015,Finland,KaggleRama,Kaggle Sticker,138
1/21/2015,Norway,KaggleMart,Kaggle Mug,309
1/21/2015,Norway,KaggleMart,Kaggle Hat,555
1/21/2015,Norway,KaggleMart,Kaggle Sticker,152
1/21/2015,Norway,KaggleRama,Kaggle Mug,596
1/21/2015,Norway,KaggleRama,Kaggle Hat,902
1/21/2015,Norway,KaggleRama,Kaggle Sticker,256
1/21/2015,Sweden,KaggleMart,Kaggle Mug,227
1/21/2015,Sweden,KaggleMart,Kaggle Hat,343
1/21/2015,Sweden,KaggleMart,Kaggle Sticker,87
1/21/2015,Sweden,KaggleRama,Kaggle Mug,366
1/21/2015,Sweden,KaggleRama,Kaggle Hat,674
1/21/2015,Sweden,KaggleRama,Kaggle Sticker,157
1/22/2015,Finland,KaggleMart,Kaggle Mug,174
1/22/2015,Finland,KaggleMart,Kaggle Hat,301
1/22/2015,Finland,KaggleMart,Kaggle Sticker,85
1/22/2015,Finland,KaggleRama,Kaggle Mug,333
1/22/2015,Finland,KaggleRama,Kaggle Hat,548
1/22/2015,Finland,KaggleRama,Kaggle Sticker,147
1/22/2015,Norway,KaggleMart,Kaggle Mug,332
1/22/2015,Norway,KaggleMart,Kaggle Hat,494
1/22/2015,Norway,KaggleMart,Kaggle Sticker,145
1/22/2015,Norway,KaggleRama,Kaggle Mug,467
1/22/2015,Norway,KaggleRama,Kaggle Hat,922
1/22/2015,Norway,KaggleRama,Kaggle Sticker,249
1/22/2015,Sweden,KaggleMart,Kaggle Mug,220
1/22/2015,Sweden,KaggleMart,Kaggle Hat,353
1/22/2015,Sweden,KaggleMart,Kaggle Sticker,93
1/22/2015,Sweden,KaggleRama,Kaggle Mug,382
1/22/2015,Sweden,KaggleRama,Kaggle Hat,628
1/22/2015,Sweden,KaggleRama,Kaggle Sticker,177
1/23/2015,Finland,KaggleMart,Kaggle Mug,188
1/23/2015,Finland,KaggleMart,Kaggle Hat,343
1/23/2015,Finland,KaggleMart,Kaggle Sticker,86
1/23/2015,Finland,KaggleRama,Kaggle Mug,350
1/23/2015,Finland,KaggleRama,Kaggle Hat,568
1/23/2015,Finland,KaggleRama,Kaggle Sticker,157
1/23/2015,Norway,KaggleMart,Kaggle Mug,350
1/23/2015,Norway,KaggleMart,Kaggle Hat,564
1/23/2015,Norway,KaggleMart,Kaggle Sticker,144
1/23/2015,Norway,KaggleRama,Kaggle Mug,539
1/23/2015,Norway,KaggleRama,Kaggle Hat,926
1/23/2015,Norway,KaggleRama,Kaggle Sticker,244
1/23/2015,Sweden,KaggleMart,Kaggle Mug,228
1/23/2015,Sweden,KaggleMart,Kaggle Hat,412
1/23/2015,Sweden,KaggleMart,Kaggle Sticker,111
1/23/2015,Sweden,KaggleRama,Kaggle Mug,388
1/23/2015,Sweden,KaggleRama,Kaggle Hat,672
1/23/2015,Sweden,KaggleRama,Kaggle Sticker,183
1/24/2015,Finland,KaggleMart,Kaggle Mug,227
1/24/2015,Finland,KaggleMart,Kaggle Hat,369
1/24/2015,Finland,KaggleMart,Kaggle Sticker,100
1/24/2015,Finland,KaggleRama,Kaggle Mug,388
1/24/2015,Finland,KaggleRama,Kaggle Hat,681
1/24/2015,Finland,KaggleRama,Kaggle Sticker,175
1/24/2015,Norway,KaggleMart,Kaggle Mug,403
1/24/2015,Norway,KaggleMart,Kaggle Hat,677
1/24/2015,Norway,KaggleMart,Kaggle Sticker,173
1/24/2015,Norway,KaggleRama,Kaggle Mug,650
1/24/2015,Norway,KaggleRama,Kaggle Hat,1011
1/24/2015,Norway,KaggleRama,Kaggle Sticker,312
1/24/2015,Sweden,KaggleMart,Kaggle Mug,294
1/24/2015,Sweden,KaggleMart,Kaggle Hat,517
1/24/2015,Sweden,KaggleMart,Kaggle Sticker,126
1/24/2015,Sweden,KaggleRama,Kaggle Mug,492
1/24/2015,Sweden,KaggleRama,Kaggle Hat,808
1/24/2015,Sweden,KaggleRama,Kaggle Sticker,198
1/25/2015,Finland,KaggleMart,Kaggle Mug,238
1/25/2015,Finland,KaggleMart,Kaggle Hat,363
1/25/2015,Finland,KaggleMart,Kaggle Sticker,105
1/25/2015,Finland,KaggleRama,Kaggle Mug,381
1/25/2015,Finland,KaggleRama,Kaggle Hat,627
1/25/2015,Finland,KaggleRama,Kaggle Sticker,188
1/25/2015,Norway,KaggleMart,Kaggle Mug,391
1/25/2015,Norway,KaggleMart,Kaggle Hat,619
1/25/2015,Norway,KaggleMart,Kaggle Sticker,180
1/25/2015,Norway,KaggleRama,Kaggle Mug,758
1/25/2015,Norway,KaggleRama,Kaggle Hat,1204
1/25/2015,Norway,KaggleRama,Kaggle Sticker,279
1/25/2015,Sweden,KaggleMart,Kaggle Mug,251
1/25/2015,Sweden,KaggleMart,Kaggle Hat,502
1/25/2015,Sweden,KaggleMart,Kaggle Sticker,130
1/25/2015,Sweden,KaggleRama,Kaggle Mug,520
1/25/2015,Sweden,KaggleRama,Kaggle Hat,823
1/25/2015,Sweden,KaggleRama,Kaggle Sticker,215
1/26/2015,Finland,KaggleMart,Kaggle Mug,177
1/26/2015,Finland,KaggleMart,Kaggle Hat,302
1/26/2015,Finland,KaggleMart,Kaggle Sticker,74
1/26/2015,Finland,KaggleRama,Kaggle Mug,328
1/26/2015,Finland,KaggleRama,Kaggle Hat,549
1/26/2015,Finland,KaggleRama,Kaggle Sticker,133
1/26/2015,Norway,KaggleMart,Kaggle Mug,321
1/26/2015,Norway,KaggleMart,Kaggle Hat,531
1/26/2015,Norway,KaggleMart,Kaggle Sticker,140
1/26/2015,Norway,KaggleRama,Kaggle Mug,579
1/26/2015,Norway,KaggleRama,Kaggle Hat,897
1/26/2015,Norway,KaggleRama,Kaggle Sticker,233
1/26/2015,Sweden,KaggleMart,Kaggle Mug,223
1/26/2015,Sweden,KaggleMart,Kaggle Hat,345
1/26/2015,Sweden,KaggleMart,Kaggle Sticker,100
1/26/2015,Sweden,KaggleRama,Kaggle Mug,402
1/26/2015,Sweden,KaggleRama,Kaggle Hat,647
1/26/2015,Sweden,KaggleRama,Kaggle Sticker,153
1/27/2015,Finland,KaggleMart,Kaggle Mug,179
1/27/2015,Finland,KaggleMart,Kaggle Hat,296
